,target_-0.000513,target_-0.000249,target_0.000015,target_0.000279,target_0.000543,target_0.000807,target_0.001072,target_0.001336,target_0.001600,target_0.001864
T,0.002134674404997477,0.0004388701818849014,0.002854781130739015,0.13543499683003335,0.1273272314727829,0.07660873524628159,0.0015777136525538524,0.05055439549904685,0.0021917930054912407,0.00020800660010809397
AMD,2.766687694352276e-11,4.4308365173400647e-16,6.9879466183191544e-15,7.825368732716447e-13,7.289939145699808e-13,8.279501540462121e-13,7.227357119709061e-14,1.5287404716832016e-06,2.9402512938506715e-24,1.7913503919621613e-17
SHW,1.0337980265493872e-15,1.220221548544684e-13,1.0910289779053727e-25,1.3249911768862827e-11,1.234353976186993e-11,8.279878090224104e-13,5.944227997143242e-13,6.0704605645694275e-21,3.858238792019528e-30,1.1322358863824878e-15
LIN,3.546500914018592e-15,2.2260389562650517e-12,2.5012512164175312e-23,3.8283107124109966e-13,3.56630372521253e-13,8.27984956354273e-13,1.3215868275303823e-14,7.861217115478089e-21,4.197848091870493e-31,4.808838060627859e-18
FIX,5.239454667630704e-13,2.8114461083618546e-13,3.7780945285275624e-27,1.2025879209117275e-14,1.1199679791132268e-14,8.279678553716571e-13,2.5617210082616327e-12,5.88429300494055e-25,7.023063333496567e-27,9.624666340058912e-17
AVB,1.3839462960413411e-13,6.442164396634082e-15,7.159122443408246e-26,1.075213222928561e-12,1.0017013112808077e-12,8.278681923613847e-13,4.024428127767528e-13,1.3464462643529532e-21,7.76096074811726e-24,6.664352056420712e-17
NFLX,1.7440203209977087e-16,1.6419812246066435e-14,3.128075135525831e-12,5.1621970744027924e-12,0.0040273592943498296,0.0005999550856423499,8.665250038891953e-15,8.928721529236283e-25,1.7346832131228097e-45,8.89014279323275e-17
COHR,7.307751455418294e-17,3.3530532377036375e-14,4.297745134128911e-26,2.8610626968107806e-13,2.665282157207258e-13,8.279924537379535e-13,3.224175733413997e-13,7.500312176889049e-23,1.2557325122752025e-28,2.2931856496044372e-15
VMC,2.266845384334105e-10,1.958873702403431e-13,2.845444847702542e-26,1.7369934458184467e-14,1.6184152066171117e-14,8.279776093772749e-13,1.4408507404106696e-10,9.826253347759851e-05,7.349952738625601e-28,2.377235846647799e-16
STX,5.449423928018328e-09,3.2873044406512967e-13,2.4937166823622495e-14,2.3776025194115586e-11,2.2149693274933367e-11,8.279860474299103e-13,3.804278103321049e-16,1.7357213202882255e-23,2.716302022945321e-32,5.084332290442191e-16
