target_median,proxy_true_median,proxy_true_mad,proxy_target_mad,proxy_median_error,proxy_abs_median_error
-0.0005134227998537799,0.0006756383308753403,0.005780332048262947,0.005877836742423836,0.0011890611307291202,0.0011890611307291202
-0.0002492542698223632,0.000673932227240981,0.005776201926528209,0.005835871023690411,0.0009231864970633443,0.0009231864970633443
1.491426020905351e-05,0.0006510542958224732,0.0057734489262103094,0.005803788307385529,0.0006361400356134196,0.0006361400356134196
0.0002790827902404702,0.0006157362371427973,0.005769159110682817,0.005780702454350379,0.0003366534469023271,0.0003366534469023271
0.0005432513202718869,0.0006110086945609677,0.005767919066155794,0.005768447030614116,6.775737428908074e-05,6.775737428908074e-05
0.0008074198503033037,0.0007304000546610708,0.005768421428888172,0.005768684400846952,-7.701979564223287e-05,7.701979564223287e-05
0.0010715883803347204,0.0007111981024567665,0.005771040022568728,0.005779566593347841,-0.00036039027787795387,0.00036039027787795387
0.001335756910366137,0.0007509007428642812,0.005774331464888003,0.005800561741587647,-0.0005848561675018558,0.0005848561675018558
0.0015999254403975538,0.0007303690186311435,0.005777374836235286,0.005829994212263269,-0.0008695564217664103,0.0008695564217664103
0.0018640939704289705,0.0007275956156856087,0.0057814954523006615,0.005870226584810224,-0.001136498354743362,0.001136498354743362
