target_median,median,mad,target_mad,median_error,abs_median_error,chosen_lambda,best_start_id,best_is_proxy_start
-0.0005134227998537799,-0.0005134227998537799,0.01448844014043492,0.01448844014043492,0.0,0.0,1000,8,False
-0.0002492542698223632,-0.0002492542698223632,0.010975392753887868,0.010975392753887868,0.0,0.0,30,18,False
1.491426020905351e-05,1.491426020905351e-05,0.008070337826082822,0.008070337826082822,0.0,0.0,100,15,False
0.0002790827902404702,0.0002790827902404702,0.006302284336994708,0.006302284336994708,0.0,0.0,10000,5,False
0.0005432513202718869,0.0005432513202718869,0.006132717705489336,0.006132717705489336,0.0,0.0,3000,5,False
0.0008074198503033037,0.0008074198503033037,0.0058659811845644646,0.0058659811845644646,0.0,0.0,10,0,True
0.0010715883803347204,0.0010715883803347204,0.006425435146853673,0.006425435146853673,0.0,0.0,30,8,False
0.001335756910366137,0.001335756910366137,0.0073949881978070875,0.0073949881978070875,0.0,0.0,10000,13,False
0.0015999254403975538,0.0015999254403975538,0.009455970391754975,0.009455970391754975,0.0,0.0,10,11,False
0.0018640939704289705,0.0018640939704289705,0.010631588286916509,0.010631588286916509,0.0,0.0,30,16,False
