target_median,lambda,median,mad,target_mad,median_error,abs_median_error,is_chosen_lambda
-0.0005134227998537799,10,-0.00022970056605848348,0.009810551551828875,0.009817820456593114,0.0002837222337952964,0.0002837222337952964,False
-0.0005134227998537799,30,-0.0005134227998537799,0.015001204410306248,0.015001204410306248,0.0,0.0,False
-0.0005134227998537799,100,-0.0005134227998537799,0.015052541424239386,0.015052541424239386,0.0,0.0,False
-0.0005134227998537799,300,-0.0004954322706099972,0.016953202185766306,0.01695331146200025,1.799052924378276e-05,1.799052924378276e-05,False
-0.0005134227998537799,1000,-0.0005134227998537799,0.01448844014043492,0.01448844014043492,0.0,0.0,True
-0.0005134227998537799,3000,-0.0005099588914483631,0.015610603006344606,0.01561061984205686,3.463908405416851e-06,3.463908405416851e-06,False
-0.0005134227998537799,10000,-0.00048807414592342565,0.016948611881199494,0.01694875953575532,2.5348653930354272e-05,2.5348653930354272e-05,False
-0.0002492542698223632,10,-0.00024925426982236315,0.01136504605160228,0.01136504605160228,5.421010862427522e-20,5.421010862427522e-20,False
-0.0002492542698223632,30,-0.0002492542698223632,0.010975392753887868,0.010975392753887868,0.0,0.0,True
-0.0002492542698223632,100,-0.0002492542698223632,0.011791178927459543,0.011791178927459543,0.0,0.0,False
-0.0002492542698223632,300,-0.0002492542698223632,0.013937323874531529,0.013937323874531529,0.0,0.0,False
-0.0002492542698223632,1000,-0.0002492542698223632,0.01323119645392131,0.01323119645392131,0.0,0.0,False
-0.0002492542698223632,3000,-0.0002492542698223632,0.016239312455938983,0.016239312455938983,0.0,0.0,False
-0.0002492542698223632,10000,-0.0002492542698223632,0.01459796213288037,0.01459796213288037,0.0,0.0,False
1.491426020905351e-05,10,1.491426020905351e-05,0.008211414015647296,0.008211414015647296,0.0,0.0,False
1.491426020905351e-05,30,1.491426020905351e-05,0.008840475256646763,0.008840475256646763,0.0,0.0,False
1.491426020905351e-05,100,1.491426020905351e-05,0.008070337826082822,0.008070337826082822,0.0,0.0,True
1.491426020905351e-05,300,1.491426020905351e-05,0.008143656989249123,0.008143656989249123,0.0,0.0,False
1.491426020905351e-05,1000,1.491426020905351e-05,0.008086601574220764,0.008086601574220764,0.0,0.0,False
1.491426020905351e-05,3000,1.491426020905351e-05,0.008104646898374014,0.008104646898374014,0.0,0.0,False
1.491426020905351e-05,10000,1.491426020905351e-05,0.009846794069107321,0.009846794069107321,0.0,0.0,False
0.0002790827902404702,10,0.0002790827902404702,0.006958032718948649,0.006958032718948649,0.0,0.0,False
0.0002790827902404702,30,0.0002790827902404702,0.007101203727237413,0.007101203727237413,0.0,0.0,False
0.0002790827902404702,100,0.0002790827902404702,0.007155517556437696,0.007155517556437696,0.0,0.0,False
0.0002790827902404702,300,0.0002790827902404702,0.006965737254074996,0.006965737254074996,0.0,0.0,False
0.0002790827902404702,1000,0.0002790827902404702,0.0084894007955323,0.0084894007955323,0.0,0.0,False
0.0002790827902404702,3000,0.0002790827902404702,0.00759808963152308,0.00759808963152308,0.0,0.0,False
0.0002790827902404702,10000,0.0002790827902404702,0.006302284336994708,0.006302284336994708,0.0,0.0,True
0.0005432513202718869,10,0.0005432513202718869,0.006143132858473318,0.006143132858473318,0.0,0.0,False
0.0005432513202718869,30,0.0005432513202718869,0.006651977598524218,0.006651977598524218,0.0,0.0,False
0.0005432513202718869,100,0.0005432513202718869,0.006484259218422941,0.006484259218422941,0.0,0.0,False
0.0005432513202718869,300,0.0005432513202718869,0.006678021000489168,0.006678021000489168,0.0,0.0,False
0.0005432513202718869,1000,0.0005432513202718869,0.006907438978304309,0.006907438978304309,0.0,0.0,False
0.0005432513202718869,3000,0.0005432513202718869,0.006132717705489336,0.006132717705489336,0.0,0.0,True
0.0005432513202718869,10000,0.0005432513202718869,0.006597260414546528,0.006597260414546528,0.0,0.0,False
0.0008074198503033037,10,0.0008074198503033037,0.0058659811845644646,0.0058659811845644646,0.0,0.0,True
0.0008074198503033037,30,0.0008074198503033037,0.006312788103809385,0.006312788103809385,0.0,0.0,False
0.0008074198503033037,100,0.0008074198503033037,0.006550923041174976,0.006550923041174976,0.0,0.0,False
0.0008074198503033037,300,0.0008074198503033037,0.007115548401555761,0.007115548401555761,0.0,0.0,False
0.0008074198503033037,1000,0.0008074198503033037,0.006143468332646045,0.006143468332646045,0.0,0.0,False
0.0008074198503033037,3000,0.0008074198503033037,0.006466518682011061,0.006466518682011061,0.0,0.0,False
0.0008074198503033037,10000,0.0008074198503033037,0.006718000576220442,0.006718000576220442,0.0,0.0,False
0.0010715883803347204,10,0.0010715883803347204,0.006567098775361418,0.006567098775361418,0.0,0.0,False
0.0010715883803347204,30,0.0010715883803347204,0.006425435146853673,0.006425435146853673,0.0,0.0,True
0.0010715883803347204,100,0.0010715883803347204,0.007031463913599875,0.007031463913599875,0.0,0.0,False
0.0010715883803347204,300,0.0010715883803347204,0.006526677800127274,0.006526677800127274,0.0,0.0,False
0.0010715883803347204,1000,0.0010715883803347204,0.006884460407511227,0.006884460407511227,0.0,0.0,False
0.0010715883803347204,3000,0.0010715883803347204,0.007006472064471654,0.007006472064471654,0.0,0.0,False
0.0010715883803347204,10000,0.0010715883803347204,0.006534651281111584,0.006534651281111584,0.0,0.0,False
0.001335756910366137,10,0.001335756910366137,0.007479585665448449,0.007479585665448449,0.0,0.0,False
